TARGETID,Redrock_z,best_z,best_quality,Redrock_spectype,best_spectype,all_VI_issues,all_VI_comments,merger_comment,N_VI,DELTACHI2,ZWARN,ZERR,TARGET_RA,TARGET_DEC,FIBER,FLUX_G,FLUX_R,FLUX_Z,FIBERFLUX_G,FIBERFLUX_R,FIBERFLUX_Z,EBV,TILEID
39627664624982144,0.0889,2.5889,2.0,GALAXY,GALAXY,R,Lyman alpha emitter?,Lyman alpha emitter?,2,0.4933388251811266,4,3.734711706270807e-05,36.0399307570936,-4.934008419977485,710,0.3050332000000001,0.33062214,0.34090152,0.21673816,0.23492011,0.24222402,0.027896235,80606
39627652612496940,1.6862,2.6592,2.0,GALAXY,GALAXY,R,Lyman alpha emitter?,Lyman alpha emitter?,2,16.095686331391338,0,0.00013868765673769187,37.61098456933181,-5.5721365281361095,4727,0.20429537,0.22783461,0.11221829,0.15910265,0.17743471,0.08739419,0.028626572000000006,80606
39627664641754681,1.5078,2.1923,2.0,QSO,QSO,,unusually narrow CIV line Lyman alpha emitter,Lyman alpha emitter,2,53.72225706279278,0,0.0001212910925145162,36.897979060591005,-4.9944037902580245,4651,0.21577677,0.2092089,0.12444207,0.16797872,0.16286574,0.09687613,0.028346391,80606
39627670643808885,-0.0018,2.2295,2.0,STAR,GALAXY,RC,Lyman alpha emitter,Lyman alpha emitter,2,100.7294490878485,0,2.71010899095994e-05,35.794242561958725,-4.723924304598347,1290,0.23403974,0.22424209,0.122064255,0.18225855,0.17462862,0.09505759,0.024929356,80606
39627700796654265,2.1817,2.199,2.0,QSO,GALAXY,,Lyman alpha emitter; narrow Lya and hint of CIII] and MgII signal consistent with LyA but other features are weak,Lyman alpha emitter,2,25.81198957003653,0,0.0002462796040713574,36.31708666799188,-3.5771263201986288,2982,0.72203577,0.81679356,0.93176144,0.4731827,0.5352818,0.61062545,0.025755176,80606
39627658614541257,0.7883,2.9083,2.0,GALAXY,GALAXY,,Lyman alpha emitter,Lyman alpha emitter,2,226.26070189476013,0,9.152356319311523e-06,36.693310096235535,-5.1686833422902865,4850,0.32885942,0.3459339,0.23987587,0.22063637,0.23209187,0.16093607,0.028250186,80606
39627658614542070,0.7686,2.7226,2.0,GALAXY,GALAXY,R,Lyman alpha emitter?,Lyman alpha emitter,2,5.934808656573296,4,7.562627928656215e-05,36.717037481403295,-5.23623388409939,4588,0.23438226,0.22611193,0.31548882,0.18243816,0.17600073,0.2455698,0.027584825,80606
39627646585280781,0.1047,2.39,2.0,GALAXY,GALAXY,S,Lyman alpha emitter?,Lyman alpha emitter,2,7.8298616809770465,4,3.6784762607067026e-05,36.84097021155235,-5.873744894748536,330,0.27124664,0.28207445,0.253595,0.21128091,0.21971495,0.19753158,0.025964828,80606
39627700796661013,0.954,2.0537,2.0,GALAXY,GALAXY,RCS,Lyman alpha emitter; hint of CIV + CIII] + MgII bad splicing,Could be lyman alpha emitter,2,32.15907800197601,0,7.891038331807043e-05,36.50963889004555,-3.552235986889796,2704,0.23523371,0.28365245,0.26008165,0.18316472,0.22086598,0.20251255,0.025615554,80606
39627688717058772,0.5637,2.732,2.0,GALAXY,GALAXY,RS,bad R splicing another possible unidentified line visible at 8350A,Lyman alpha emitter?,2,2.969953089952469,4,7.873457507173557e-05,35.31567567490518,-4.0788127418085285,1668,0.5120948000000001,0.6595209,0.8680196,0.19874363,0.25595963,0.33687782,0.021084012000000003,80606
39627682727592135,0.2797,2.92355,2.0,GALAXY,GALAXY,RC,Lyman alpha emitter? Strong narrow line could be Lya strong thin line at 4770AA and nothing else : possible Lyman alpha emitter,Lyman alpha emitter?,2,272.12183193862444,0,2.0864176088295785e-05,37.8072820886561,-4.2843350459119165,3596,0.18357718,0.17783912,0.027420325,0.14277798,0.13831517,0.021326281,0.025725741,80606
39627640553871919,2.0183,2.0183,4.0,QSO,QSO,,Lya and CIV emissions seem too narrow for a QSO QSO,Lyman alpha emitter,2,60.13496453687549,0,0.0004376091543232805,35.83188084185143,-5.96389922729447,508,0.3871357,0.40508553,0.65779907,0.30090964,0.3148615,0.5112886,0.027444731,80606
39627670673166752,1.5453,2.345,2.0,GALAXY,GALAXY,R,Lyman-alpha emitter ?,Lyman alpha emitter?,2,6.499643614515662,4,0.00012011963342706208,37.48439781066617,-4.8161724171599465,4047,0.5211946,0.55910134,1.0486743,0.12489219,0.13397567,0.2512905,0.025957933,80606
39627706823875576,0.317,3.0386,2.0,GALAXY,QSO,RC,Possible Lyman alpha emitter : one strong (unresolved) line and nothing else,Lyman alpha emitter,2,423.5733890235424,0,2.9633678771249323e-05,36.2567563151633,-3.3460234583234296,2594,0.38416538,0.44815904,0.5353600000000001,0.17212279,0.20079473,0.23986453,0.02417407,80606
39627652599907489,2.9626,2.99,2.0,QSO,GALAXY,RC,Lyman alpha emitter,Lyman alpha emitter,2,33.8805147819221,0,0.0004598644991366916,36.68797946195797,-5.55690585055256,360,0.4571554,0.5254689,0.6126716,0.21477343,0.24686737,0.28783557,0.028518837,80606
39627688712864357,2.3125,2.3323,2.0,QSO,QSO,R,Lyman alpha emitter Lyman alpha emitter (very thin Lya line; no CIII; no CIV),none,2,0.7997223436832428,4,0.00032094995070661956,35.063514039656425,-3.9454025921289264,1953,0.4190178,0.46718836,0.43894967,0.29912806,0.333516,0.313357,0.019658051,80606
39627670668970656,0.2108,2.7110000000000003,2.0,GALAXY,GALAXY,RS,Stron emission at 4500A does not seem to be OII. Lyman alpha emitter at z=2.7110 ? best fit doublet is a strong spike (cosmic ?) + nothing else,Lyman alpha emitter,2,96.37669884972271,0,9.073885612499036e-05,37.181733299668544,-4.851777196359502,4138,0.24735843,0.2846508,0.37512538,0.19236948,0.22137158,0.2917332,0.03752154,80606
39627694765251168,1.5389,2.292,2.0,GALAXY,GALAXY,R,very likely LAE at z=2.292,Lyman alpha emitter,2,38.712592780590064,0,8.868568085301228e-05,36.48599977537647,-3.7263552225837984,2519,0.3663447,0.3800692,0.2609325,0.28513002,0.29581198,0.20308657,0.02489859,80606
39627694782027010,0.2134,2.72,2.0,GALAXY,GALAXY,RC,strong signal unresolved and no other line : possible Lyman alpha emitter,Lyman alpha emitter,2,136.1198649965227,0,2.224520404706954e-05,37.444838311269095,-3.8436631709425857,3820,0.24997354,0.21760768,0.3054642,0.19429699,0.16913995,0.2374282,0.02669627,80606
39627670635422855,2.3246,2.3246,3.5,QSO,QSO,,Lyman alpha emitter,none,2,133.52201000973582,0,0.0004550275750657394,35.33750021176794,-4.793143000113359,1305,0.27598727,0.37402636,0.5099714,0.21422186,0.29032,0.3958408,0.021793019,80606
39627670668973482,0.8612,2.33,2.0,GALAXY,GALAXY,,Lyman-alpha emitter at z=2.33 ? Maybe some MgII as well at this redshift,Lyman alpha emitter,2,3.794785112142563,4,5.182192154475625e-05,37.26944285810038,-4.770572376353812,4311,0.2372748,0.2430562,0.18629071,0.18473233,0.1892335,0.14503825,0.038337953,80606
39627676704571527,0.9907,2.7657,2.0,GALAXY,GALAXY,R,Lyman alpha emitter?,Lyman alpha emitter?,2,10.333586171269415,0,6.103691030791995e-05,37.85662475201949,-4.5878295432621226,4477,0.72033453,0.7900357,0.7250084,0.21752223,0.23857017,0.21893363,0.02523639,80606
39627658631318160,-0.0049,3.1,2.5,GALAXY,GALAXY,R,only one line with no resolved doublet / hard to tell what it is Lyman alpha emitter,Lyman alpha emitter,2,635.8181968746068,32,2.258894846554123e-05,37.671985309093756,-5.204701540191022,4165,0.23767337,0.29273105,0.1896813,0.17034127,0.20980127,0.13594519,0.026167575,80606
39627658631318944,1.6161,2.2761,2.0,GALAXY,GALAXY,RS,Lyman alpha emitter,Lyman alpha emitter,2,3.0580112636089325,4,7.070398441539664e-05,37.691299549109786,-5.175003206235334,4365,0.25002456,0.3012849,0.32637203,0.19440076,0.23425704,0.25376296,0.025941335,80606
39627664624976530,0.3219,2.71,2.0,GALAXY,GALAXY,R,Lyman alpha emitter?,Lyman alpha emitter,2,9.087623039260508,0,7.11835326070445e-05,35.86727324554574,-5.0532280125231255,943,0.3615832000000001,0.43900728,0.2106995,0.2382185,0.28922707,0.1388132,0.025803976,80606
39627664654336508,0.444,3.204,1.0,GALAXY,GALAXY,RS,Lyman alpha emitter weak,Could be lyman alpha emitter,2,13.533853143453598,0,6.126729667349295e-05,37.61455936579547,-4.885324224567508,4046,0.28219503,0.25620863,0.08204065,0.05388855,0.048926134,0.015666654,0.028869038,80606
39627658631321939,2.3371,2.3371,4.0,QSO,QSO,,just one line / unsure what it is Lyman alpha emitter,C III detected,2,30.37131446989952,0,0.0002857367639173838,37.76753568785339,-5.170535746984824,4396,0.20924506,0.19136748,0.10601448,0.16285929999999998,0.14894485,0.08251304,0.025920846,80606
39627682702435003,0.4958,2.2927,2.0,GALAXY,GALAXY,R,Lyman alpha emitter?,Lyman alpha emitter?,2,39.80956711992621,0,8.731686505073438e-05,36.54106775642187,-4.272294770507304,3443,0.26520056,0.24632676,0.18685852,0.20654616,0.19184668,0.14553103,0.025569625,80606
39627676704574732,1.6489,2.2030000000000003,2.0,QSO,QSO,R,Lyman alpha emitter?,Lyman alpha emitter?,2,28.17386343330145,0,0.00015393635584043885,37.94752711386352,-4.56212866559385,4497,0.4320662,0.4860447,0.44547614,0.27661124,0.31116858,0.28519636,0.022888716,80606
39627664633371817,2.7603,2.7613000000000003,2.5,QSO,QSO,,Lyman alpha emitter,none,2,140.68546682968736,0,0.00027844165187973946,36.563403763351246,-4.938588819936407,125,0.2493828,0.20029162,0.27801207,0.17577288,0.14117186,0.19595169,0.028964767,80606
39627700805044666,0.5415,2.1315,2.0,GALAXY,GALAXY,,O II in splice region and inconclusive,Lyman alpha emitter,2,29.023409016430374,0,4.6338339073922134e-05,36.86189027367184,-3.3852419576620085,3035,0.24526036,0.28398132,0.35301,0.19097215,0.22112226,0.27487147,0.026718432,80606
39627688729645736,0.0781,2.28,2.0,GALAXY,GALAXY,R,Lyman alpha emitter,Lyman alpha emitter,2,12.519615653553045,0,5.8280794058979897e-05,36.181244259717886,-4.091439785411636,2275,0.23266971,0.27381557,0.2799133,0.18118796,0.21322966,0.21797816,0.029630033,80606
39627658589374759,0.6823,2.869,2.0,QSO,GALAXY,RC,MgII line is too narrow + no other lines Lyman alpha emitter,Could be Lyman alpha emitter,2,2.916732981801033,4,0.00015912052867981285,35.169747333527646,-5.310382166204609,1375,0.23166195,0.2678614,0.123104736,0.18042563,0.20861891,0.095877856,0.021773804,80606
39627652612496092,1.709,2.449,2.0,QSO,GALAXY,RC,CIV line seems too narrow to be physical and MgII is not secure Lyman alpha emitter,Lyman alpha emitter,2,165.9134909287095,0,0.000209089130556114,37.58761331245726,-5.4804984179970635,4708,0.26386988,0.3154545,0.22531454,0.20504181,0.24512596,0.17508213,0.027051747,80606
39633345029607537,0.157,2.2895,2.0,GALAXY,GALAXY,R,Strong emission at 4000A seems real; CIV or Lya ?,Lyman alpha emitter?,2,4.4729652889072895,4,3.51276091406952e-05,107.86194774656231,56.67989526119465,3339,0.22713035,0.19093569,0.14726128,0.17695870000000002,0.1487592,0.11473219,0.049669337,80608
39633328080422722,3.0013,3.0013,1.0,QSO,QSO,S,Lyman alpha emitter / to be done No broad emission lines + only one weak emission line + bad spectrum rather than DLA,none,2,102.85084944963457,0,0.0002301162557917732,105.57138321104584,55.56051482860296,901,0.2535127,0.25683555,0.4252627000000001,0.1974655,0.2000537,0.33124456,0.051274717,80608
39633324645289850,0.0672,2.2733,2.0,GALAXY,GALAXY,R,Lyman alpha emitter at redshift 2.2733 OII feature at <4000A not definitive and no other obvious features,Possible Lyman alpha emitter,2,142.9937717425637,0,3.763147557763498e-05,107.39869882208313,55.18154243013821,4996,0.3295224,0.41566548,0.18198046,0.16704534,0.210714,0.09225166,0.059193533,80608
39633328080423452,2.3762,2.3775,2.5,QSO,QSO,,plausible faint QSO Possible Lyman alpha emitter,none,2,74.0503727607429,0,0.0004573061507161389,105.64848685699728,55.50999200252074,935,0.35356355,0.34271538,0.39783415,0.13246804,0.12840362,0.14905472,0.050976206,80608
39633341661577371,1.6505,2.371,3.0,QSO,GALAXY,CR,likely Lyman-alpha emitter at z = 2.371,Lyman alpha emitter,2,117.81997626274824,0,0.0002059445412506349,104.67029034849506,56.45138348106183,1692,0.46222374,0.47411507,0.4839629,0.35996708,0.36922774,0.37689695,0.055974897,80608
39633345008635657,1.5067,2.1065,2.5,GALAXY,QSO,R,Very strong Ly alpha emission,Lyman alpha emitter,2,60.60610783100128,0,3.8704021220764736e-05,105.63267302282543,56.65530321514478,2490,0.5094698000000001,0.46783066,0.5700960999999999,0.39685744,0.36442214,0.44408295,0.051328707,80608
39633341678358945,0.2022,2.6889,2.0,GALAXY,GALAXY,R,Lyman alpha emitter? OII lines not resolved; possible emission line instead no other features,Lyman alpha emitter?,2,43.22244770079851,0,2.3656750907905678e-05,106.90587151629654,56.421486004428644,3443,0.3990262,0.4589568,0.34025767,0.24739245,0.28454885,0.21095651,0.046019956,80608
39633344996053136,2.7632,2.7921,2.0,QSO,GALAXY,CR,Lyman alpha emitter? possible OII on join region and large unidetified feature at 4600A,Lyman alpha emitter,2,82.14281037449838,0,0.00019034892552150182,104.2367897423822,56.646879214287395,1963,0.33183601,0.30232242,0.55009335,0.2001278,0.18232837,0.33175716,0.0564886,80608
39633345033800583,2.509,2.509,3.0,QSO,GALAXY,CR,definitely not QSO; very strong line at 4260A might be OII but does not match doublet well and no other features match well,Lyman alpha emitter,2,2488.875137910247,0,7.603552105788503e-05,108.19141655881602,56.648349124737386,3594,0.41742003,0.38458908,0.25875560000000003,0.3252011,0.29962337,0.20158975,0.054956056,80608
39633328101393520,0.0635,3.3829,2.0,GALAXY,GALAXY,SR,Lyman alpha emitter? single very strong emission line which looks more like OII than OIII + blue-red calibration issue,None,2,1925.3975826762617,0,1.5304296968373708e-05,107.67747327324145,55.425958147043715,4980,0.20724672,0.26157670000000005,0.16236766,0.1613759,0.20368078,0.12643011,0.05776194,80608
39633341653192592,0.1833,2.625,2.0,GALAXY,GALAXY,R,likely a Lyman-alpha emitter at z = 2.625 Why no OIII if very prominent OII ?,Could be lyman alpha emitter,2,29.31842878460884,0,4.0480917808539203e-05,104.11410043491524,56.375762284812936,1633,0.22925837,0.10961421,0.13251688,0.17846705,0.08532959,0.103158265,0.04880283,80608
